id,num_drivers,created_at,updated_at,driver_eta
10197,5,2017-11-01 00:00:56.396372,2017-11-01 00:00:56.396372,2
10198,5,2017-11-01 00:02:16.315231,2017-11-01 00:02:16.315231,1
10199,5,2017-11-01 00:02:56.512764,2017-11-01 00:02:56.512764,0
10200,4,2017-11-01 00:03:16.35867,2017-11-01 00:03:16.35867,2
10201,5,2017-11-01 00:04:36.544178,2017-11-01 00:04:36.544178,2
10202,6,2017-11-01 00:06:36.379541,2017-11-01 00:06:36.379541,2
10203,8,2017-11-01 00:09:56.415083,2017-11-01 00:09:56.415083,2
10204,9,2017-11-01 00:11:16.402817,2017-11-01 00:11:16.402817,2
10205,9,2017-11-01 00:12:16.387164,2017-11-01 00:12:16.387164,1
10206,9,2017-11-01 00:13:16.490586,2017-11-01 00:13:16.490586,0
10207,9,2017-11-01 00:14:16.470717,2017-11-01 00:14:16.470717,1
10208,8,2017-11-01 00:18:36.535223,2017-11-01 00:18:36.535223,1
10209,9,2017-11-01 00:18:56.321182,2017-11-01 00:18:56.321182,1
10210,7,2017-11-01 00:21:56.490532,2017-11-01 00:21:56.490532,1
10211,8,2017-11-01 00:22:16.332001,2017-11-01 00:22:16.332001,1
10212,9,2017-11-01 00:25:56.442822,2017-11-01 00:25:56.442822,1
10213,8,2017-11-01 00:29:36.260391,2017-11-01 00:29:36.260391,0
10214,8,2017-11-01 00:30:36.428637,2017-11-01 00:30:36.428637,1
10215,7,2017-11-01 00:31:16.317298,2017-11-01 00:31:16.317298,1
10216,8,2017-11-01 00:31:56.523186,2017-11-01 00:31:56.523186,1
10217,7,2017-11-01 00:40:16.366363,2017-11-01 00:40:16.366363,1
10218,6,2017-11-01 00:40:56.4883,2017-11-01 00:40:56.4883,2
10219,5,2017-11-01 00:41:16.309309,2017-11-01 00:41:16.309309,2
10220,4,2017-11-01 00:41:56.27836,2017-11-01 00:41:56.27836,2
10221,4,2017-11-01 00:42:56.297412,2017-11-01 00:42:56.297412,1
10222,5,2017-11-01 00:44:36.324444,2017-11-01 00:44:36.324444,1
10223,4,2017-11-01 00:46:36.404137,2017-11-01 00:46:36.404137,1
10224,5,2017-11-01 00:46:56.562248,2017-11-01 00:46:56.562248,1
10225,5,2017-11-01 00:51:36.435657,2017-11-01 00:51:36.435657,0
10226,5,2017-11-01 00:53:36.600148,2017-11-01 00:53:36.600148,1
10227,6,2017-11-01 00:58:56.458134,2017-11-01 00:58:56.458134,1
10228,6,2017-11-01 01:00:16.451905,2017-11-01 01:00:16.451905,2
10229,7,2017-11-01 01:01:36.337814,2017-11-01 01:01:36.337814,2
10230,6,2017-11-01 01:02:16.335071,2017-11-01 01:02:16.335071,2
10231,6,2017-11-01 01:02:56.499548,2017-11-01 01:02:56.499548,1
10232,5,2017-11-01 01:03:16.420948,2017-11-01 01:03:16.420948,1
10233,6,2017-11-01 01:11:36.428537,2017-11-01 01:11:36.428537,0
10234,5,2017-11-01 01:12:16.34559,2017-11-01 01:12:16.34559,0
10235,6,2017-11-01 01:13:56.329003,2017-11-01 01:13:56.329003,0
10236,6,2017-11-01 01:14:16.463669,2017-11-01 01:14:16.463669,1
10237,5,2017-11-01 01:17:56.312832,2017-11-01 01:17:56.312832,1
10238,4,2017-11-01 01:18:36.307939,2017-11-01 01:18:36.307939,1
10239,3,2017-11-01 01:21:16.485825,2017-11-01 01:21:16.485825,1
10240,4,2017-11-01 01:22:36.291026,2017-11-01 01:22:36.291026,1
10241,5,2017-11-01 01:22:56.425203,2017-11-01 01:22:56.425203,1
10242,4,2017-11-01 01:24:56.494356,2017-11-01 01:24:56.494356,1
10243,5,2017-11-01 01:27:36.493469,2017-11-01 01:27:36.493469,1
10244,4,2017-11-01 01:28:36.245831,2017-11-01 01:28:36.245831,1
10245,3,2017-11-01 01:31:36.429958,2017-11-01 01:31:36.429958,1
10246,4,2017-11-01 01:36:36.316471,2017-11-01 01:36:36.316471,1
10247,4,2017-11-01 01:40:56.465143,2017-11-01 01:40:56.465143,2
10248,5,2017-11-01 01:44:16.423071,2017-11-01 01:44:16.423071,2
10249,6,2017-11-01 01:44:36.524529,2017-11-01 01:44:36.524529,2
10250,6,2017-11-01 01:49:56.368012,2017-11-01 01:49:56.368012,1
10251,6,2017-11-01 01:50:56.36944,2017-11-01 01:50:56.36944,0
10252,6,2017-11-01 01:51:56.352056,2017-11-01 01:51:56.352056,1
10253,5,2017-11-01 01:53:36.394967,2017-11-01 01:53:36.394967,1
10254,6,2017-11-01 01:59:16.382428,2017-11-01 01:59:16.382428,1
10261,5,2017-11-01 02:17:56.528561,2017-11-01 02:17:56.528561,1
10263,4,2017-11-01 02:19:16.376378,2017-11-01 02:19:16.376378,1
10264,5,2017-11-01 02:23:16.314899,2017-11-01 02:23:16.314899,1
10265,4,2017-11-01 02:25:56.426452,2017-11-01 02:25:56.426452,1
10268,2,2017-11-01 02:32:56.484848,2017-11-01 02:32:56.484848,2
10269,0,2017-11-01 02:38:16.241241,2017-11-01 02:38:16.241241,1000
10271,0,2017-11-01 02:49:16.283232,2017-11-01 02:49:16.283232,1000
10255,5,2017-11-01 01:59:36.468422,2017-11-01 01:59:36.468422,1
10257,7,2017-11-01 02:06:16.544406,2017-11-01 02:06:16.544406,1
10262,5,2017-11-01 02:18:16.350725,2017-11-01 02:18:16.350725,0
10266,4,2017-11-01 02:30:56.361667,2017-11-01 02:30:56.361667,2
