pickUpJobId,createdAt,distance.value,duration.value,status,vehicleType
24580,2017-11-01T00:21:43.000Z,7549.816275,895,2,STANDARD
24586,2017-11-01T01:11:48.000Z,3176.99112072978,445,2,STANDARD
24587,2017-11-01T01:18:15.000Z,824.3119947,143,2,STANDARD
24590,2017-11-01T01:53:20.000Z,7157.97999439212,875,2,STANDARD
24591,2017-11-01T02:25:41.000Z,6955.198941139995,839,2,STANDARD
24593,2017-11-01T02:38:05.000Z,3609.9899105554,349,2,STANDARD
24594,2017-11-01T02:48:52.000Z,4336.98787869218,446,2,STANDARD
24595,2017-11-01T02:50:34.000Z,30724.9141279265,1444,2,STANDARD
24603,2017-11-01T03:07:16.000Z,6325.982319715639,685,2,STANDARD
24607,2017-11-01T03:25:33.000Z,3025.99154275364,280,2,STANDARD
24608,2017-11-01T03:28:49.000Z,1251.9965008352801,154,2,STANDARD
24615,2017-11-01T04:10:55.000Z,3045.99148685644,301,2,STANDARD
24616,2017-11-01T04:11:54.000Z,2742.2863918800003,359,2,STANDARD
24617,2017-11-01T04:17:21.000Z,622.28832582,134,2,STANDARD
24618,2017-11-01T04:18:04.000Z,2092.99415035802,326,2,STANDARD
24619,2017-11-01T04:20:01.000Z,5509.9846003214,520,2,STANDARD
24622,2017-11-01T04:29:30.000Z,668.99813023866,130,2,STANDARD
24623,2017-11-01T04:32:31.000Z,30141.91575732988,1323,2,STANDARD
24624,2017-11-01T04:37:25.000Z,6719.9812185408,602,2,STANDARD
24634,2017-11-01T05:08:09.000Z,1237.4006045799997,259,2,STANDARD
24635,2017-11-01T05:11:39.000Z,944.9973588572999,156,2,STANDARD
24636,2017-11-01T05:26:19.000Z,1816.3654975999998,384,2,STANDARD
24637,2017-11-01T05:38:51.000Z,1863.99479038096,205,2,STANDARD
24638,2017-11-01T05:55:04.000Z,3167.99114588352,3,2,STANDARD
24639,2017-11-01T05:58:03.000Z,1198.9966489628598,262,2,STANDARD
24640,2017-11-01T06:00:36.000Z,3087.99136947232,582,2,STANDARD
24641,2017-11-01T06:00:51.000Z,1395.99609837544,164,2,STANDARD
24642,2017-11-01T06:08:35.000Z,937.05913642,187,2,STANDARD
24644,2017-11-01T06:10:16.000Z,421.63420528,152,2,STANDARD
24645,2017-11-01T06:19:26.000Z,2006.99439071598,313,2,STANDARD
24646,2017-11-01T06:25:01.000Z,3832.98928730162,405,2,STANDARD
24647,2017-11-01T06:42:11.000Z,1011.99717160168,128,2,STANDARD
24648,2017-11-01T06:42:47.000Z,3055.99145890784,365,2,STANDARD
24649,2017-11-01T06:56:02.000Z,1747.3972319000002,332,2,STANDARD
24650,2017-11-01T07:01:59.000Z,1629.9954443781999,201,2,STANDARD
24652,2017-11-01T12:25:11.000Z,2752.05830436,281,2,STANDARD
24653,2017-11-01T12:37:29.000Z,5460.785129219998,549,2,STANDARD
24656,2017-11-01T13:09:42.000Z,5314.9851453190995,516,2,STANDARD
24658,2017-11-01T13:34:47.000Z,5568.839435500001,502,2,STANDARD
24660,2017-11-01T13:38:26.000Z,11772.684201499998,1132,2,STANDARD
24661,2017-11-01T13:44:43.000Z,1856.99480994498,314,2,STANDARD
24662,2017-11-01T14:35:27.000Z,1485.1552788999998,180,2,STANDARD
24663,2017-11-01T14:50:08.000Z,3626.0280941,495,2,STANDARD
24664,2017-11-01T14:56:02.000Z,2993.6057542999997,360,2,STANDARD
24666,2017-11-01T15:05:45.000Z,3105.9913191648398,299,2,STANDARD
24668,2017-11-01T15:19:56.000Z,1985.6841589999995,270,2,STANDARD
24671,2017-11-01T15:57:10.000Z,2073.99420346036,559,2,STANDARD
24672,2017-11-01T16:11:51.000Z,2084.9941727169,198,2,STANDARD
24673,2017-11-01T16:13:54.000Z,2413.99325320796,184,2,STANDARD
24711,2017-11-01T18:34:30.000Z,2051.7491753399995,319,2,STANDARD
24722,2017-11-01T20:14:56.000Z,4616.98709613138,620,2,STANDARD
24724,2017-11-01T20:41:09.000Z,4238.98815258846,521,2,STANDARD
24726,2017-11-01T20:55:56.000Z,4953.98615426356,473,2,STANDARD
24728,2017-11-01T21:16:57.000Z,1976.99447456178,211,2,STANDARD
24738,2017-11-01T22:02:53.000Z,3292.2381033799993,378,2,STANDARD
24743,2017-11-01T22:57:15.000Z,3648.98980155586,339,2,STANDARD
24747,2017-11-01T23:14:15.000Z,6354.723609679999,609,2,STANDARD
24751,2017-11-01T23:31:26.000Z,2607.99271100512,319,2,STANDARD
24757,2017-11-02T00:12:43.000Z,4936.98620177618,491,2,STANDARD
24758,2017-11-02T00:13:24.000Z,3753.8692356799993,372,2,STANDARD
24762,2017-11-02T00:30:54.000Z,5024.663645259999,860,2,STANDARD
24767,2017-11-02T01:20:13.000Z,6500.98183061514,577,2,STANDARD
24770,2017-11-02T01:31:08.000Z,7184.9799189309,697,2,STANDARD
24779,2017-11-02T02:03:26.000Z,7300.97959472714,739,2,STANDARD
24785,2017-11-02T03:06:31.000Z,3639.9898267095996,377,2,STANDARD
24794,2017-11-02T04:59:02.000Z,1334.5242735800002,245,2,STANDARD
24795,2017-11-02T12:55:02.000Z,9924.477912000002,593,2,STANDARD
24796,2017-11-02T13:19:12.000Z,3301.9907713722796,347,2,STANDARD
24799,2017-11-02T14:15:08.000Z,8341.024145900003,784,2,STANDARD
24800,2017-11-02T14:35:57.000Z,4467.003195159999,475,2,STANDARD
24804,2017-11-02T15:04:59.000Z,3956.9889407389796,343,2,STANDARD
24806,2017-11-02T15:51:55.000Z,4202.98825320342,547,2,STANDARD
24811,2017-11-02T16:37:59.000Z,1528.79414234,259,2,STANDARD
24816,2017-11-02T16:53:24.000Z,2402.7414013199987,408,2,STANDARD
24821,2017-11-02T17:07:36.000Z,2773.9922470583597,433,2,STANDARD
24832,2017-11-02T18:02:02.000Z,2583.9927780817598,393,2,STANDARD
24841,2017-11-02T19:10:44.000Z,6282.982439894619,483,2,STANDARD
24842,2017-11-02T19:32:30.000Z,12646.96465340558,995,2,STANDARD
24843,2017-11-02T19:39:24.000Z,5801.98378422228,631,2,STANDARD
24844,2017-11-02T19:51:16.000Z,4854.9864309547,153,2,STANDARD
24846,2017-11-02T21:06:10.000Z,5260.35792562,511,2,STANDARD
24854,2017-11-02T22:10:41.000Z,1454.9959334787,151,2,STANDARD
24855,2017-11-02T22:12:42.000Z,3089.9913638825997,316,2,STANDARD
24859,2017-11-02T22:39:25.000Z,2936.9917914961798,358,2,STANDARD
24869,2017-11-02T23:22:50.000Z,3106.99131636998,457,2,STANDARD
24889,2017-11-03T01:37:29.000Z,5475.9846953466395,488,2,STANDARD
24893,2017-11-03T02:01:49.000Z,4319.9879262048,455,2,STANDARD
24895,2017-11-03T02:24:01.000Z,6156.98279204698,515,2,STANDARD
24896,2017-11-03T02:31:55.000Z,25030.93004185934,1726,2,STANDARD
24898,2017-11-03T02:44:02.000Z,3858.9892146352595,553,2,STANDARD
24906,2017-11-03T03:38:03.000Z,7973.97771378636,456,2,STANDARD
24917,2017-11-03T05:00:47.000Z,7532.978946319619,1170,2,STANDARD
24920,2017-11-03T05:13:50.000Z,2835.4993646800003,531,2,STANDARD
24921,2017-11-03T05:35:19.000Z,7901.97791501628,539,2,STANDARD
24922,2017-11-03T06:01:36.000Z,2084.9941727169,254,2,STANDARD
24923,2017-11-03T06:26:49.000Z,1366.99617942638,174,2,STANDARD
24924,2017-11-03T06:53:57.000Z,24550.93138339214,1156,2,STANDARD
24925,2017-11-03T07:29:38.000Z,3586.98997483718,262,2,STANDARD
24927,2017-11-03T09:03:10.000Z,2786.99221072518,233,2,STANDARD
24928,2017-11-03T13:12:36.000Z,7539.9848169399975,648,2,STANDARD
24934,2017-11-03T13:59:00.000Z,12202.965894323419,692,2,STANDARD
24938,2017-11-03T14:48:42.000Z,3752.9895108904198,487,2,STANDARD
24939,2017-11-03T15:01:00.000Z,10954.315499419992,671,2,STANDARD
24953,2017-11-03T16:20:49.000Z,5279.9852431392,640,2,STANDARD
24957,2017-11-03T16:34:54.000Z,3942.23604532,460,2,STANDARD
24962,2017-11-03T17:01:52.000Z,13246.152453320004,844,2,STANDARD
24978,2017-11-03T17:28:26.000Z,1420.99602850394,241,2,STANDARD
24987,2017-11-03T17:46:59.000Z,3876.98916432778,578,2,STANDARD
24988,2017-11-03T17:54:52.000Z,11159.147466600001,903,2,STANDARD
24997,2017-11-03T18:15:38.000Z,4595.792237999999,479,2,STANDARD
24999,2017-11-03T18:33:21.000Z,7584.917589740004,748,2,STANDARD
25008,2017-11-03T19:23:18.000Z,6280.98244548434,493,2,STANDARD
25013,2017-11-03T20:06:59.000Z,7248.979740059859,882,2,STANDARD
25014,2017-11-03T20:46:23.000Z,8919.70740442,678,2,STANDARD
